section,item,is_composite,cal,fat,satfat,transfat,chol,sodium,carbs,fiber,sugars,protein,allergens,page
Toddle House© Omelet Breakfasts,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,6
Toddle House© Omelet Breakfasts,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,6
Toddle House© Omelet Breakfasts,Cheesesteak Omelet Breakfast: 2 Egg Cheesesteak Omelet,False,410,30,12,1,413,976,4,0,3,33,Egg; Milk; Soy,6
Toddle House© Omelet Breakfasts,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,6
Toddle House© Omelet Breakfasts,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,6
Toddle House© Omelet Breakfasts,Fiesta Omelet Breakfast: 2 Egg Fiesta Omelet,False,380,26,10,1,388,1696,13,1,6,26,Egg; Milk; Soy,6
Toddle House© Omelet Breakfasts,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,6
Toddle House© Omelet Breakfasts,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,6
Toddle House© Omelet Breakfasts Continued,Build your own Omelet Breakfast 2 Egg Omelet,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,7
Toddle House© Omelet Breakfasts Continued,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,7
Toddle House© Omelet Breakfasts Continued,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,7
Toddle House© Omelet Breakfasts Continued,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,7
Toddle House© Omelet Breakfasts Continued,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,7
Toddle House© Omelet Breakfasts Continued,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,7
Toddle House© Omelet Breakfasts Continued,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,7
Toddle House© Omelet Breakfasts Continued,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,7
Toddle House© Omelet Breakfasts Continued,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,7
Toddle House© Omelet Breakfasts Continued,Meats:Bacon,False,90,8,3,0,20,250,0,0,0,6,,7
Toddle House© Omelet Breakfasts Continued,Sausage,False,130,12,4,0,25,255,1,0,0,5,,7
Toddle House© Omelet Breakfasts Continued,Chicken Sausage,False,90,7,2,0,38,350,0,0,0,7,,7
Toddle House© Omelet Breakfasts Continued,Grilled Chicken,False,130,1,0,0,80,930,2,0,0,29,,7
Toddle House© Omelet Breakfasts Continued,Cheesesteak,False,130,7,3,0,50,300,0,0,0,16,Soy,7
Toddle House© Omelet Breakfasts Continued,Sautéed Onions,False,15,0,0,0,0,0,3,1,1,0,,7
Toddle House© Omelet Breakfasts Continued,Melted American Cheese,False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,7
Toddle House© Omelet Breakfasts Continued,Hickory Smoked Ham,False,70,3,1,0,25,630,2,0,1,9,,7
Toddle House© Omelet Breakfasts Continued,Add-Ons: Grilled Tomatoes,False,5,0,0,0,0,0,2,0,1,0,,7
Toddle House© Omelet Breakfasts Continued,Jalapeno Peppers,False,10,0,0,0,0,390,2,0,0,0,,7
Toddle House© Omelet Breakfasts Continued,Grilled Mushrooms,False,10,0,0,0,0,140,2,1,1,1,,7
Toddle House© Omelet Breakfasts Continued,Grilled Chicken,False,130,1,0,0,80,930,2,0,0,29,,7
LUNCH/DINNER HASHBROWN BOWLS,Cheesesteak Melt Hashbrown Bowl,True,625,30,13,0,75,1280,63,7,2,27,Milk; Soy,7
LUNCH/DINNER HASHBROWN BOWLS,Large Hashbrowns,False,380,14,5,0,0,480,58,6,0,6,Soy,7
LUNCH/DINNER HASHBROWN BOWLS,Cheesesteak,False,130,7,3,0,50,300,0,0,0,16,Soy,7
LUNCH/DINNER HASHBROWN BOWLS,Grilled Onions,False,15,0,0,0,0,0,3,1,1,0,,7
LUNCH/DINNER HASHBROWN BOWLS,American Cheese (2 Slices),False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,7
LUNCH/DINNER HASHBROWN BOWLS,Chicken Melt Hashbrown Bowl,True,625,24,10,0,105,1910,65,7,2,40,Milk; Soy,7
LUNCH/DINNER HASHBROWN BOWLS,Large Hashbrowns,False,380,14,5,0,0,480,58,6,0,6,Soy,7
LUNCH/DINNER HASHBROWN BOWLS,Grilled Chicken,False,130,1,0,0,80,930,2,0,0,29,,7
LUNCH/DINNER HASHBROWN BOWLS,Grilled Onions,False,15,0,0,0,0,0,3,1,1,0,,7
LUNCH/DINNER HASHBROWN BOWLS,American Cheese (2 Slices),False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,7
CLASSIC DINNERS,Chicken Dinner Chicken Filet ( 1),False,130,1,0,0,80,930,2,0,0,29,Milk; Soy; Wheat,8
CLASSIC DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,8
CLASSIC DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,8
CLASSIC DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,8
CLASSIC DINNERS,Meat Lovers Chicken Dinner Chicken Filet (2),False,260,2,0,0,160,1860,4,0,0,58,Milk; Soy; Wheat,8
CLASSIC DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,8
CLASSIC DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,8
CLASSIC DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,8
CLASSIC DINNERS,Country Ham Dinner Country Ham (1),False,190,9,3,0,95,2110,1,0,1,25,Milk; Soy; Wheat,8
CLASSIC DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,8
CLASSIC DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,8
CLASSIC DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,8
CLASSIC DINNERS,Pork Chop Dinner Pork Chops (2),False,340,14,5,0,140,1040,0,0,0,52,Milk; Soy; Wheat,8
CLASSIC DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,8
CLASSIC DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,8
CLASSIC DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,8
CLASSIC DINNERS,Meat Lovers Pork Chop Dinner Pork Chops (3),False,510,21,8,0,210,1560,0,0,0,78,Milk; Soy; Wheat,8
CLASSIC DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,8
CLASSIC DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,8
CLASSIC DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,8
CLASSIC DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,8
CLASSIC DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,8
USDA CHOICE STEAK DINNERS,T-Bone Dinner T-Bone Steak (1),False,420,29,11,0,115,260,0,0,0,37,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,9
USDA CHOICE STEAK DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,9
USDA CHOICE STEAK DINNERS,Delmonico Dinner Delmonico Steak (1),False,300,14,5,1,135,460,0,0,0,41,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Grits,False,90,3,1,0,0,300,16,1,0,1,Egg; Milk; Soy; Wheat,9
USDA CHOICE STEAK DINNERS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,9
USDA CHOICE STEAK DINNERS,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,9
Texas Melts,Texas Grilled Chicken Melt,False,445,12,5,0,105,1810,45,3,6,40,Milk; Soy; Wheat,9
Texas Melts,Texas Cheesesteak™ Melt,False,445,18,8,0,75,1180,43,3,6,27,Milk; Soy; Wheat,9
Texas Melts,Texas Angus Patty Melt,False,535,28,12,1,85,935,43,3,6,26,Milk; Soy; Wheat,9
Texas Melts,Add Bacon (2 slices),False,90,8,3,0,20,250,0,0,0,6,,9
REGULAR BERT'S CHILI,Regular Bert's Chili™ (4 oz),False,110,4,1,0,10,520,11,4,1,9,Milk; Soy; Wheat,9
REGULAR BERT'S CHILI,Large Bert's Chili™ (8 oz),False,220,7,2,0,20,1040,22,8,2,18,Milk; Soy; Wheat,9
REGULAR BERT'S CHILI,Bert's Chili™ as a Topping (2 oz),False,55,2,1,0,5,260,6,2,1,5,Milk; Soy; Wheat,9
100% Angus Beef Hamburgers,Angus 1/4 LB Hamburger Deluxe,False,370,19,7,1,60,295,30,2,5,19,Milk; Soy; Wheat,9
100% Angus Beef Hamburgers,Angus 1/4 LB Cheeseburger Deluxe,False,420,23,10,1,73,545,31,2,6,22,Milk; Soy; Wheat,9
100% Angus Beef Hamburgers,Double Angus 1/4 LB Cheeseburger Deluxe,False,690,45,19,2,145,850,32,2,6,39,Milk; Soy; Wheat,9
100% Angus Beef Hamburgers,Angus Patty,False,220,17,7,1,60,55,0,0,0,15,,9
100% Angus Beef Hamburgers,Bun,False,130,2,0,0,0,240,25,1,3,4,,9
100% Angus Beef Hamburgers,Add Bacon (2 slices),False,90,8,3,0,20,250,0,0,0,6,,9
Sandwiches,Grilled Chicken Sandwich Deluxe,False,280,3,0,0,80,1170,32,2,5,33,Milk; Soy; Wheat,10
Sandwiches,Grilled Chicken Bacon Cheese Sandwich Deluxe,False,420,15,6,0,113,1670,33,2,6,42,Milk; Soy; Wheat,10
Sandwiches,Grilled Cheese Sandwich,False,230,11,5,0,25,760,27,1,4,9,Milk; Soy; Wheat,10
Sandwiches,Waffle Sandwich (Ham and Cheese on Wheat),False,270,9,3,0,53,1350,34,4,9,23,Milk; Soy; Wheat,10
Sandwiches,Ham & Cheese Sandwich (Lettuce & Tomato),False,285,9,3,0,53,1360,35,1,11,21,Milk; Soy; Wheat,10
Sandwiches,BLT Sandwich,False,275,14,5,0,30,635,27,1,4,13,Soy; Wheat,10
Sandwiches,Texas Bacon Lover's BLT Sandwich (5 bacon slices),False,435,22,8,0,50,1005,40,2,5,21,Milk; Soy; Wheat,10
Pies,Regular Slice Southern Pecan Pie,False,510,26,8,0,65,610,66,1,28,4,Egg; Milk; Soy; Tree Nuts; Wheat,10
Pies,Small Slice Southern Pecan Pie,False,255,13,4,0,33,305,33,1,14,2,Egg; Milk; Soy; Tree Nuts; Wheat,10
Pies,Regular Slice Triple Chocolate Pie,False,490,25,15,0,63,270,59,1,39,2,Milk; Soy; Wheat,10
Pies,Small Slice Triple Chocolate Pie,False,245,13,8,0,31,135,30,1,20,1,Milk; Soy; Wheat,10
Beverages,Coffee,False,5,0,0,0,0,0,1,0,0,0,,10
Beverages,Dark Roast Coffee,False,5,0,0,0,0,0,1,0,0,0,,10
Beverages,Coffee - Decaf,False,5,0,0,0,0,0,1,0,0,0,,10
Beverages,Coca-Cola®,False,160,0,0,0,0,35,44,0,44,0,,10
Beverages,Diet Coke®,False,0,0,0,0,0,50,0,0,0,0,,10
Beverages,Sprite®,False,160,0,0,0,0,70,42,0,42,0,,10
Beverages,Pibb-Xtra®,False,150,0,0,0,0,60,42,0,42,0,,10
Beverages,Barq's Root Beer®,False,180,0,0,0,0,75,50,0,50,0,,10
Beverages,Hi-C® Fruit Punch,False,170,0,0,0,0,55,46,0,45,0,,10
Beverages,Simply Lemonade,False,160,0,0,0,0,30,41,0,39,0,,10
Beverages,Alice's Iced Tea™ - Unsweet,False,0,0,0,0,0,0,0,0,0,0,,10
Beverages,Alice's Iced Tea™ - Sweet,False,70,0,0,0,0,0,17,0,17,0,,10
Beverages,Alice's Iced Tea-Monade,False,140,0,0,0,0,0,36,0,35,0,,10
Beverages,Simply Orange Juice,False,160,0,0,0,0,0,37,0,33,2,,10
Beverages,Simply Apple Juice,False,160,0,0,0,0,5,43,0,40,0,,10
Beverages,Honest Kids Apple Juice,False,35,0,0,0,0,15,9,0,8,0,,10
Beverages,Regular Milk,False,130,5,4,0,20,125,13,0,13,9,Milk,10
Beverages,Large Milk,False,250,10,6,0,40,230,24,0,24,16,Milk,10
Beverages,Large Chocolate Milk,False,440,16,10,0,70,360,58,0,54,16,Milk,10
Beverages,Regular Chocolate Milk,False,230,9,5,0,35,190,31,0,29,9,Milk,10
Beverages,Hot Tea,False,5,0,0,0,0,0,0,0,0,0,,10
